date,value
"1986.09",5.0327E-09
"1986.10",5.0800E-09
"1986.11",5.1298E-09
"1986.12",5.2895E-09
"1987.01",5.7084E-09
"1987.02",6.5949E-09
"1987.03",7.6385E-09
"1987.04",8.6207E-09
"1987.05",1.1193E-08
"1987.06",1.4342E-08
"1987.07",1.6340E-08
"1987.08",1.7138E-08
"1987.09",1.8133E-08
"1987.10",1.9421E-08
"1987.11",2.1560E-08
"1987.12",2.4539E-08
"1988.01",2.8238E-08
"1988.02",3.3033E-08
"1988.03",3.8959E-08
"1988.04",4.5704E-08
"1988.05",5.4777E-08
"1988.06",6.4837E-08
"1988.07",7.8482E-08
"1988.08",9.7239E-08
"1988.09",1.1863E-07
"1988.10",1.4971E-07
"1988.11",1.9133E-07
"1988.12",2.4401E-07
"1989.01",3.2836E-07
"1989.02",3.6364E-07
"1989.03",3.6364E-07
"1989.04",3.6909E-07
"1989.05",3.9964E-07
"1989.06",4.8618E-07
"1989.07",6.9600E-07
"1989.08",9.0000E-07
"1989.09",1.1880E-06
"1989.10",1.6327E-06
"1989.11",2.2720E-06
"1989.12",3.3669E-06
"1990.01",5.2047E-06
"1990.02",8.6040E-06
"1990.03",1.3709E-05
"1990.04",1.7415E-05
"1990.05",1.8993E-05
"1990.06",2.0769E-05
"1990.07",2.4188E-05
"1990.08",2.6093E-05
"1990.09",2.7469E-05
"1990.10",3.4605E-05
"1990.11",4.4776E-05
"1990.12",5.6213E-05
"1991.01",7.0251E-05
"1991.02",8.0639E-05
"1991.03",8.3667E-05
"1991.04",9.1700E-05
"1991.05",9.9264E-05
"1991.06",1.0832E-04
"1991.07",1.1961E-04
"1991.08",1.3501E-04
"1991.09",1.5598E-04
"1991.10",2.1231E-04
"1991.11",2.6922E-04
"1991.12",3.4832E-04
"1992.01",4.3541E-04
"1992.02",5.3769E-04
"1992.03",6.5982E-04
"1992.04",7.9883E-04
"1992.05",9.5587E-04
"1992.06",1.1454E-03
"1992.07",1.3924E-03
